NAME	LATITUDE	LONGITUDE 
JB-___20140312_192932.wav	  49.76648 N	  8.63401 E
JB-_N_20140312_192939.wav	  49.76648 N	  8.63401 E
JB-___20140312_192941.wav	  49.76648 N	  8.63401 E
JB-___20140312_192949.wav	  49.76648 N	  8.63401 E
JB-___20140312_192958.wav	  49.76648 N	  8.63401 E
JB-___20140312_193006.wav	  49.76648 N	  8.63401 E
JB-___20140312_193023.wav	  49.76648 N	  8.63401 E
JB-___20140312_193029.wav	  49.76648 N	  8.63401 E
JB-___20140312_193050.wav	  49.76648 N	  8.63401 E
JB-_N_20140312_193056.wav	  49.76648 N	  8.63401 E
JB-___20140312_193100.wav	  49.76649 N	  8.63401 E
JB-_N_20140312_193111.wav	  49.76649 N	  8.63401 E
JB-___20140312_193113.wav	  49.76649 N	  8.63401 E
JB-___20140312_193120.wav	  49.76651 N	  8.63402 E
JB-___20140312_193130.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193133.wav	  49.76651 N	  8.63404 E
JB-___20140312_193139.wav	  49.76652 N	  8.63404 E
JB-_N_20140312_193148.wav	  49.76652 N	  8.63404 E
JB-_N_20140312_193200.wav	  49.76652 N	  8.63404 E
JB-_N_20140312_193202.wav	  49.76652 N	  8.63404 E
JB-___20140312_193208.wav	  49.76652 N	  8.63404 E
JB-___20140312_193220.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193237.wav	  49.76651 N	  8.63404 E
JB-___20140312_193254.wav	  49.76651 N	  8.63404 E
JB-___20140312_193326.wav	  49.76651 N	  8.63404 E
JB-___20140312_193331.wav	  49.76651 N	  8.63404 E
JB-___20140312_193335.wav	  49.76651 N	  8.63404 E
JB-___20140312_193341.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193348.wav	  49.76651 N	  8.63404 E
JB-___20140312_193351.wav	  49.76651 N	  8.63404 E
JB-___20140312_193357.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193412.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193419.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193422.wav	  49.76651 N	  8.63404 E
JB-___20140312_193427.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193438.wav	  49.76651 N	  8.63404 E
JB-___20140312_193440.wav	  49.76651 N	  8.63404 E
JB-___20140312_193445.wav	  49.76651 N	  8.63404 E
JB-___20140312_193450.wav	  49.76651 N	  8.63404 E
JB-___20140312_193509.wav	  49.76651 N	  8.63404 E
JB-___20140312_193513.wav	  49.76651 N	  8.63404 E
JB-___20140312_193517.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193521.wav	  49.76651 N	  8.63404 E
JB-___20140312_193524.wav	  49.76651 N	  8.63404 E
JB-___20140312_193533.wav	  49.76651 N	  8.63404 E
JB-___20140312_193537.wav	  49.76651 N	  8.63404 E
JB-___20140312_193541.wav	  49.76651 N	  8.63404 E
JB-___20140312_193553.wav	  49.76652 N	  8.63404 E
JB-___20140312_193603.wav	  49.76652 N	  8.63404 E
JB-___20140312_193634.wav	  49.76651 N	  8.63404 E
JB-___20140312_193646.wav	  49.76651 N	  8.63404 E
JB-___20140312_193651.wav	  49.76651 N	  8.63404 E
JB-___20140312_193701.wav	  49.76651 N	  8.63404 E
JB-___20140312_193705.wav	  49.76651 N	  8.63404 E
JB-___20140312_193718.wav	  49.76651 N	  8.63404 E
JB-___20140312_193731.wav	  49.76651 N	  8.63404 E
JB-___20140312_193740.wav	  49.76651 N	  8.63406 E
JB-___20140312_193754.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193808.wav	  49.76651 N	  8.63404 E
JB-_N_20140312_193810.wav	  49.76651 N	  8.63404 E
JB-___20140312_193824.wav	  49.76651 N	  8.63404 E
JB-___20140312_193830.wav	  49.76651 N	  8.63404 E
JB-___20140312_193839.wav	  49.76651 N	  8.63406 E
JB-___20140312_193847.wav	  49.76651 N	  8.63406 E
JB-___20140312_193858.wav	  49.76651 N	  8.63406 E
JB-_N_20140312_193903.wav	  49.76651 N	  8.63406 E
